segment_id,source_id,file_name,title,recorded_at,duration,speaker,segment_start,segment_end,transcript,summary,labels,evidence,confidence,topics
6a64634911bebf52_1,6a64634911bebf52,プロンプト検証の流れ.mp4,プロンプト検証の流れ,,,,0.0,23.0,はい、今回はですね、僕がプロンプトを作るときに、どういうふうに検証しているかという話をしていきます。 プロンプトを作るときなんですけど、主に大きく2つに分かれると思っていて、一つ目は答えが完全に決まっているときです。,はい、今回はですね、僕がプロンプトを作るときに、どういうふうに検証しているかという話をしていきます / はい、今回はですね、僕がプロンプトを作るときに、どういうふうに検証しているかという話をしていきます・プロンプトを作るときなんですけど、主に大きく・つに分かれると思っていて、一つ,['その他'],False,0.5,"['はい、今回はですね、僕がプロンプトを作るときに、どういうふうに検証しているかという話をしていきます', 'プロンプトを作るときなんですけど、主に大きく', 'つに分かれると思っていて、一つ目は答えが完全に決まっているときです']"
6a64634911bebf52_2,6a64634911bebf52,プロンプト検証の流れ.mp4,プロンプト検証の流れ,,,,23.0,38.0,これはつまりどういうことかというと、例えばコードだったら動くの動かないのみたいな開発だったらというときと、 あともう一つが答えが決まってないときというか、答えがちょっと曖昧なとき、,これはつまりどういうことかというと、例えばコードだったら動くの動かないのみたいな開発だったらというときと、 あともう一つが答えが決まってないときというか、答えがちょっと曖昧なとき、 / これはつまりどういうことかというと、例えばコ・あともう一つが答えが決まってないときというか、答,['その他'],False,0.5,"['これはつまりどういうことかというと、例えばコ', 'あともう一つが答えが決まってないときというか、答えがちょっと曖昧なとき、', 'ドだったら動くの動かないのみたいな開発だったらというときと、']"
6a64634911bebf52_3,6a64634911bebf52,プロンプト検証の流れ.mp4,プロンプト検証の流れ,,,,38.0,53.0,その作ってる人側しか判断できないみたいなケースのときですね。 こっちのケースのときの方が結構プロンプトエンジニアに難しいと思っていて、 このケースのときにどうやってプロンプト実際作っているのみたいなのをお見せしていきます。,その作ってる人側しか判断できないみたいなケースのときですね / その作ってる人側しか判断できないみたいなケ・スのときですね・こっちのケ・スのときにどうやってプロンプト実際作っているのみたいなのをお見せしていきます,['その他'],False,0.5,"['その作ってる人側しか判断できないみたいなケ', 'スのときですね', 'こっちのケ', 'スのときにどうやってプロンプト実際作っているのみたいなのをお見せしていきます', 'スのときの方が結構プロンプトエンジニアに難しいと思っていて、', 'このケ']"
6a64634911bebf52_4,6a64634911bebf52,プロンプト検証の流れ.mp4,プロンプト検証の流れ,,,,53.0,70.0,まずですね、使うチャットは2つです。2つ使います。 で、こっちとこっちをいったりいきたいしながら作っています。 で、こっち側の最初の方のチャットで、まずプロンプトを作っていくという感じなんですよ。,まずですね、使うチャットは2つです / まずですね、使うチャットは・つです。・つ使います・で、こっちとこっちをいったりいきたいしながら作っています,['その他'],False,0.5,"['まずですね、使うチャットは', 'つです。', 'つ使います', 'で、こっちとこっちをいったりいきたいしながら作っています', 'で、こっち側の最初の方のチャットで、まずプロンプトを作っていくという感じなんですよ']"
6a64634911bebf52_5,6a64634911bebf52,プロンプト検証の流れ.mp4,プロンプト検証の流れ,,,,70.0,96.0,例えばですね、今から生じるPを作りたいなと思っています。 あなたは天才プロンプトエンジニアです。 今から生じるPを作りたいなと思っています。生じるPを作るためのプロンプトを作ってほしいなと思っています。,例えばですね、今から生じるPを作りたいなと思っています / 例えばですね、今から生じる・を作りたいなと思っています・あなたは天才プロンプトエンジニアです・今から生じる,['その他'],False,0.5,"['例えばですね、今から生じる', 'を作りたいなと思っています', 'あなたは天才プロンプトエンジニアです', '今から生じる', 'を作るためのプロンプトを作ってほしいなと思っています', 'を作りたいなと思っています。生じる']"
6a64634911bebf52_6,6a64634911bebf52,プロンプト検証の流れ.mp4,プロンプト検証の流れ,,,,97.0,114.0,この生じるPに入れたい要素としては、 セールスライターとしてCVRが最も最大化するような生じるPにしてほしいと思っています。,この生じるPに入れたい要素としては、 セールスライターとしてCVRが最も最大化するような生じるPにしてほしいと思っています / CVR・この生じる・にしてほしいと思っています・に入れたい要素としては、,['その他'],False,0.5,"['CVR', 'この生じる', 'にしてほしいと思っています', 'に入れたい要素としては、', 'ルスライタ', 'として', 'が最も最大化するような生じる']"
6a64634911bebf52_7,6a64634911bebf52,プロンプト検証の流れ.mp4,プロンプト検証の流れ,,,,115.0,130.0,参考の生じるPを送るので、それに合わせてプロンプトの要素を考えてください。,参考の生じるPを送るので、それに合わせてプロンプトの要素を考えてください / 参考の生じる・を送るので、それに合わせてプロンプトの要素を考えてください,['その他'],False,0.5,"['参考の生じる', 'を送るので、それに合わせてプロンプトの要素を考えてください']"
6a64634911bebf52_8,6a64634911bebf52,プロンプト検証の流れ.mp4,プロンプト検証の流れ,,,,130.0,145.0,また、その前に他に必要な情報、欲しい情報があれば、 モーラー的に考えた上で質問してください。 そして、僕がそれに対して答えた後にプロンプトを出力してほしいです。,また、その前に他に必要な情報、欲しい情報があれば、 モーラー的に考えた上で質問してください / また、その前に他に必要な情報、欲しい情報があれば、・的に考えた上で質問してください・そして、僕がそれに対して答えた後にプロンプトを出力してほしいです,['その他'],False,0.5,"['また、その前に他に必要な情報、欲しい情報があれば、', '的に考えた上で質問してください', 'そして、僕がそれに対して答えた後にプロンプトを出力してほしいです']"
6a64634911bebf52_9,6a64634911bebf52,プロンプト検証の流れ.mp4,プロンプト検証の流れ,,,,145.0,165.0,では、参考の生じるPをお送りします。 まず、この最初の段階ではそんなにガチガチにプロンプトを作り込まないという感じです。 基本的にAIにプロンプトを作らせた方がいいので、出力としては、,では、参考の生じるPをお送りします / では、参考の生じる・をお送りします・まず、この最初の段階ではそんなにガチガチにプロンプトを作り込まないという感じです・基本的に,['その他'],False,0.5,"['では、参考の生じる', 'をお送りします', 'まず、この最初の段階ではそんなにガチガチにプロンプトを作り込まないという感じです', '基本的に', 'にプロンプトを作らせた方がいいので、出力としては、']"
6a64634911bebf52_10,6a64634911bebf52,プロンプト検証の流れ.mp4,プロンプト検証の流れ,,,,165.0,186.0,まだこんな感じで考えています。 例えば、これで何でもいいんですけど、僕が昔取っていた記事をお送りします。 そうすると、いろいろ考えてくれるわけですが、,まだこんな感じで考えています / まだこんな感じで考えています・例えば、これで何でもいいんですけど、僕が昔取っていた記事をお送りします・そうすると、いろいろ考えてくれるわけですが、,['その他'],False,0.5,"['まだこんな感じで考えています', '例えば、これで何でもいいんですけど、僕が昔取っていた記事をお送りします', 'そうすると、いろいろ考えてくれるわけですが、']"
